Stage , Description                                            , Input Channel Count, Output Channel Count
1     , Interference Canceller and Voice Noise Ratio           , 2                  , 1   
2     , Noise Suppression                                      , 1                  , 1   
3     , Automatic Gain Control                                 , 1                  , 1   
